whois_regDate,whois_expDate,number_of.,url_length,number_of_digits,number_of_special_charac,number_of-,number_of//,number_of/,number_of@,HTTP_check,number_of_protocols,number_of_subdomains,IP_in_url,number_of_.com,Port_in_URL,number_of_www,short_URL
9794,1527,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7084,220,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9964,3185,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9038,823,2,21,0,0,0,1,3,0,1,1,0,0,1,0,1,0
8578,187,2,26,0,0,0,1,3,0,0,1,0,0,0,0,1,0
10765,193,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7687,348,3,25,0,0,0,1,3,0,0,1,0,0,0,0,1,0
7011,658,2,33,5,2,0,1,3,0,0,1,0,0,1,0,1,1
10659,3304,2,19,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10843,113,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7750,285,2,24,0,0,0,1,2,0,0,1,1,0,1,0,0,0
9762,463,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9877,348,2,17,0,0,0,1,3,0,0,1,1,0,1,0,0,0
7340,3251,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9501,359,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
11606,1702,2,21,0,0,0,1,2,0,0,1,1,0,1,0,0,0
9277,219,3,25,0,0,0,1,3,0,0,1,0,0,0,0,1,0
7920,115,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9184,312,3,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8748,173,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
9737,488,2,27,0,0,0,1,4,0,0,1,0,0,1,0,1,1
8978,285,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
5188,290,1,13,0,0,0,1,3,0,0,1,0,0,0,0,0,1
10567,389,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8652,1208,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
5659,1279,1,18,0,0,0,1,3,0,0,1,0,0,1,0,0,0
-1,-1,2,72,26,4,0,1,3,0,0,1,0,0,1,1,1,0
10834,329,2,25,0,0,1,1,3,0,0,1,0,0,1,0,1,0
2812,109,1,20,0,0,0,1,3,0,0,1,0,0,1,0,0,0
7806,228,3,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8679,292,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
6605,334,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9688,1633,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6659,280,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8894,3158,1,22,0,0,0,1,3,0,0,1,0,0,1,0,0,0
8637,128,3,57,7,3,0,1,5,0,0,1,1,0,1,0,1,0
7501,207,1,26,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10413,178,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6118,91,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9149,347,2,37,1,2,0,1,4,0,0,1,0,0,1,0,1,0
5339,140,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,1
10133,822,2,30,0,0,0,1,3,0,0,1,0,0,1,0,1,0
13655,225,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
5168,1772,2,23,0,0,0,1,3,0,0,1,0,0,0,0,1,0
9212,284,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
4549,564,1,22,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9126,370,2,30,0,0,0,1,4,0,0,1,0,0,1,0,1,0
5787,2978,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7964,70,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
6308,996,1,21,0,0,0,1,3,0,0,1,0,0,1,0,0,0
